,objective,metric,boosting_type,boost_from_average,num_threads,random_state,num_leaves,min_data_in_leaf,min_child_weight,max_depth,bagging_fraction,feature_fraction,lambda_l1,lambda_l2,logloss
62,binary,binary_logloss,gbdt,True,4,42,554,113,0.007207762769885197,55,0.6567341699554765,0.6979412878046939,0.13701255790465533,1.2600709892095636,0.42488642540506544
63,binary,binary_logloss,gbdt,True,4,42,785,136,0.009585202715644765,58,0.7512395078105601,0.7634544737687794,0.16663283764244524,0.9582781202952562,0.4247022226263173
64,binary,binary_logloss,gbdt,True,4,42,563,195,0.004691690936784041,69,0.6908477015773704,0.7888396930403951,0.15261013237844492,0.7204763748898375,0.4233756705818352
65,binary,binary_logloss,gbdt,True,4,42,628,91,0.003713281356410282,46,0.7254149472147885,0.514956236399025,0.1953140836782137,1.046815486273516,0.4238285599369613
66,binary,binary_logloss,gbdt,True,4,42,741,185,0.006360449272194586,73,0.6218241094320363,0.6512539224818418,0.2587610409467467,0.8598575606125496,0.4220159747772113
67,binary,binary_logloss,gbdt,True,4,42,604,146,0.053723650951361876,53,0.8055835530314641,0.735238334967735,0.2922272181520411,1.535769074243751,0.4235658899047703
68,binary,binary_logloss,gbdt,True,4,42,424,169,0.008089456721899365,22,0.826611830582076,0.6699188978990068,0.21752359875043753,1.2856678913443544,0.42268248348730136
69,binary,binary_logloss,gbdt,True,4,42,123,176,0.08054081147599917,64,0.7673658280979367,0.5456208702521522,0.1466385521081235,1.988115786392888,0.42170975024180224
70,binary,binary_logloss,gbdt,True,4,42,84,176,0.07098299669813948,82,0.9243005793619931,0.5520446188708168,0.42301003475944515,1.9379832821317906,0.42201101801804086
71,binary,binary_logloss,gbdt,True,4,42,120,161,0.07921831867714024,63,0.7682490337702895,0.511991918353185,0.11355619472376081,1.1381657931460973,0.4233090040066122
72,binary,binary_logloss,gbdt,True,4,42,48,183,0.08763442437996728,68,0.7418578761586336,0.6372369332329603,0.1257572942548337,1.7288663102447903,0.423137060456169
73,binary,binary_logloss,gbdt,True,4,42,156,154,0.056131181164630506,59,0.7805188861711713,0.532532132098313,0.14347429171929899,0.6393364262990997,0.42390024430018286
74,binary,binary_logloss,gbdt,True,4,42,248,190,0.046679764692306565,7,0.6973395252199701,0.5694951117006316,0.16673264512879163,1.0115443437292562,0.4216658931630332
75,binary,binary_logloss,gbdt,True,4,42,242,189,0.04527458737779738,8,0.6798861946904252,0.566969918278338,0.12792299563334225,1.030236990169253,0.42285028523873025
76,binary,binary_logloss,gbdt,True,4,42,299,195,0.035007691745859174,1,0.7023888728723603,0.5447327312498249,0.1553733801217838,0.8439626018733927,0.43592500785764837
77,binary,binary_logloss,gbdt,True,4,42,119,174,0.026420832767197394,4,0.65332178098549,0.5807184072350101,0.19049123328921813,0.7387708126506936,0.4227459794736709
78,binary,binary_logloss,gbdt,True,4,42,162,189,0.04607395874615552,13,0.717131277183584,0.5160958668324885,0.10636672443544506,0.9304912328999555,0.4239878508908747
79,binary,binary_logloss,gbdt,True,4,42,202,177,0.09882850847910485,32,0.966428671825864,0.5809355396276055,0.22449508724133102,1.1922155671598826,0.42223287266791854
80,binary,binary_logloss,gbdt,True,4,42,335,200,0.019832955208622827,8,0.5096479659452949,0.5279053789333555,0.2446063109353126,1.3742921810333155,0.4223990245573887
81,binary,binary_logloss,gbdt,True,4,42,73,169,0.05853834751328827,56,0.6818327032967435,0.5596088685071899,0.16776020482283222,1.5134688473419253,0.421687626684076
82,binary,binary_logloss,gbdt,True,4,42,72,181,0.08513165177049115,64,0.6885381576091185,0.5520276561353984,0.16300845393259575,1.523970956208055,0.4219085704591329
83,binary,binary_logloss,gbdt,True,4,42,33,167,0.06165815946545766,56,0.667191474719673,0.5588262030215345,0.18054405361303916,1.4258282446588462,0.4223759151838431
84,binary,binary_logloss,gbdt,True,4,42,95,172,0.07655475655248932,50,0.7607803138635416,0.5352508203428958,0.1471172586801247,1.8632510062482999,0.42354438725829086
85,binary,binary_logloss,gbdt,True,4,42,142,184,0.040964481837943455,72,0.7021567828257108,0.5029758498107086,0.5417127747378306,1.5927957086428115,0.4229040751721494
86,binary,binary_logloss,gbdt,True,4,42,260,188,0.06100564134511894,5,0.8071579742164954,0.6119812003396713,0.13083760492823773,1.0084192263317713,0.4222541355951477
87,binary,binary_logloss,gbdt,True,4,42,172,195,0.04886642052725291,77,0.5743656434758607,0.7096904473979143,0.20048071830955236,1.3150575610729027,0.42408049689079746
88,binary,binary_logloss,gbdt,True,4,42,35,163,0.03237346590871546,67,0.7341733165642512,0.5907533419540142,0.3060428540360944,0.5415193388851028,0.42362867349657096
89,binary,binary_logloss,gbdt,True,4,42,10,179,0.026074949785633933,16,0.682725369383834,0.5212702182642305,0.25018456828327107,1.681379750817247,0.42449195800138984
90,binary,binary_logloss,gbdt,True,4,42,67,170,0.01172002707593723,54,0.6124896041092559,0.5669107524812533,0.11427277155731488,1.9995641528917656,0.4218811812662469
91,binary,binary_logloss,gbdt,True,4,42,114,156,0.005114024028480348,60,0.7489498456414295,0.7443751646984353,0.16366737684309393,1.1042556146965972,0.42458049857948316
92,binary,binary_logloss,gbdt,True,4,42,87,191,0.005794639111131413,38,0.7240683993117013,0.7276428490556218,0.1717220692512278,1.2347895349899287,0.42142194886537293
93,binary,binary_logloss,gbdt,True,4,42,91,190,0.00696755655500408,39,0.6620696624376113,0.7258371728928089,0.17239897875355187,1.226083316391261,0.4217964497632325
94,binary,binary_logloss,gbdt,True,4,42,138,196,0.0076789564398276,38,0.6419782850262712,0.7802864579902099,0.21120613275259242,0.4771202737134534,0.42392050782704005
95,binary,binary_logloss,gbdt,True,4,42,54,183,0.08851545895018507,43,0.784488638823647,0.7641383743208483,0.19001787658521493,1.3346546776258386,0.4233850375168613
96,binary,binary_logloss,gbdt,True,4,42,220,191,0.005955703374556443,47,0.8399546365040367,0.7127913293416247,0.28069097111248514,1.4498454803785827,0.42118671397514673
97,binary,binary_logloss,gbdt,True,4,42,229,191,0.004359130167432273,44,0.8621000323705974,0.7150002088151727,0.27805122224852963,1.4654748548075043,0.42135495024790814
98,binary,binary_logloss,gbdt,True,4,42,209,191,0.004589494229092364,44,0.860549692282022,0.6795216762925372,0.3609395393597478,1.138858884771737,0.4223634520091413
99,binary,binary_logloss,gbdt,True,4,42,234,198,0.0038445615289136874,47,0.8982157210765312,0.7164410943001819,0.28398984179848696,0.6755213801134751,0.4218417949985568
100,binary,binary_logloss,gbdt,True,4,42,443,183,0.005972685250608351,46,0.5155526317644706,0.6906799521357319,1.2528975507035396,0.7164584561128907,0.42246891209412113
101,binary,binary_logloss,gbdt,True,4,42,570,200,0.03013072001521567,39,0.5134568355702379,0.8807630607065083,1.015495855309055,0.14463305176359753,0.4233938041562909
102,binary,binary_logloss,gbdt,True,4,42,554,57,0.008977184494012351,22,0.7670317672104724,0.5810551510893978,0.12199428469900718,0.9282055699714641,0.42415058470188804
103,binary,binary_logloss,gbdt,True,4,42,472,109,0.0016150031659709326,43,0.9659896625324184,0.899858109924577,0.4316661050321592,0.31627096547248723,0.42408304182515016
104,binary,binary_logloss,gbdt,True,4,42,474,254,0.04727301570502314,24,0.5441279427095244,0.5626639325920131,0.3252026049315851,0.15330106257935175,0.42415568030180906
105,binary,binary_logloss,gbdt,True,4,42,656,151,0.0012769989243743556,31,0.6676522855246132,0.6193285817854532,0.14831290750284823,1.7277681830548528,0.42253933085183587
106,binary,binary_logloss,gbdt,True,4,42,342,63,0.009672210951253767,19,0.8970860123167768,0.7287836061148045,1.2030792150984422,0.9206758237654316,0.42326697023533744
107,binary,binary_logloss,gbdt,True,4,42,316,237,0.0015303076109515687,48,0.6583715021512835,0.6773639274692359,0.17330014733743154,0.1719443254124497,0.42392727012828346
108,binary,binary_logloss,gbdt,True,4,42,538,222,0.0038955548522099123,32,0.6696183264270406,0.6949892789110467,0.8961373644290317,1.8101268662998595,0.4219352096014745
109,binary,binary_logloss,gbdt,True,4,42,444,11,0.001009452294697882,24,0.645690071743717,0.7941307181460079,0.47120955599964787,0.46168019028749285,0.432212595432439
110,binary,binary_logloss,gbdt,True,4,42,755,294,0.0035752527851361693,13,0.7883189932771835,0.5212721113838918,1.9350093160452069,1.787896569116166,0.4223291506542731
111,binary,binary_logloss,gbdt,True,4,42,779,297,0.0041501674037981336,10,0.7664150575630504,0.5132758586078868,1.976049422636634,1.9891868385883018,0.42168390491054913
112,binary,binary_logloss,gbdt,True,4,42,798,300,0.0033881185958027243,33,0.5864009788310632,0.7923730112138616,1.9615942672153373,1.7485551669593589,0.42199328766153765
113,binary,binary_logloss,gbdt,True,4,42,660,252,0.0199406040054586,37,0.7829263554691774,0.5089546241352352,0.6947845204808986,1.1496625656268467,0.4226232033666067
114,binary,binary_logloss,gbdt,True,4,42,639,275,0.003229575231788721,14,0.7316751265860156,0.9714865518421083,1.9846981100384078,1.3645849318933205,0.4230080061738099
115,binary,binary_logloss,gbdt,True,4,42,711,215,0.005290196815851249,28,0.8594076511387835,0.62640439192406,0.7945561507125677,0.5029629864081614,0.4226224297341212
116,binary,binary_logloss,gbdt,True,4,42,595,165,0.0021446992196359465,10,0.603475973485768,0.5494890850573464,1.5636571317287684,1.830411334694977,0.4214387386942451
117,binary,binary_logloss,gbdt,True,4,42,792,151,0.0022848528317473455,10,0.588935705200827,0.5393472787458201,1.5097157842499325,0.2622812438313361,0.4226938847413564
118,binary,binary_logloss,gbdt,True,4,42,719,98,0.015674761778756485,10,0.5998966580187115,0.5084156632624317,1.5392594066733647,0.10219155533891379,0.42425717290956116
119,binary,binary_logloss,gbdt,True,4,42,602,177,0.002276069970409221,17,0.8462861950029511,0.6008059007213925,0.610682924162901,0.6795474306195998,0.42333349437576595
120,binary,binary_logloss,gbdt,True,4,42,399,15,0.09682185486345421,10,0.7191128588209814,0.5487398755036763,0.2334344906921305,1.2457920648763476,0.4279054384766297
121,binary,binary_logloss,gbdt,True,4,42,524,220,0.006120610447057157,28,0.6830877821520366,0.6470475069327961,0.9146455309029778,1.9128472195604496,0.422138577232219
122,binary,binary_logloss,gbdt,True,4,42,502,127,0.00469804652852127,36,0.6071745676112099,0.7680415998720584,1.474056430963751,1.9966695742864302,0.42240834237838515
123,binary,binary_logloss,gbdt,True,4,42,600,176,0.002249340928163375,17,0.6242552704851865,0.5014499814104968,1.0349085119071346,1.3429403223324023,0.4220007539121635
124,binary,binary_logloss,gbdt,True,4,42,401,275,0.0026112110857390933,33,0.5629890534763992,0.5827205244012814,1.7163907424677958,1.5460234982625123,0.42313069929474284
125,binary,binary_logloss,gbdt,True,4,42,702,204,0.006745896792435185,14,0.6986709953794731,0.6502477940425051,0.5446855137804113,1.0237925262232597,0.42450690697549637
126,binary,binary_logloss,gbdt,True,4,42,613,134,0.003990841043394998,41,0.7335977553560148,0.5305349716177683,1.253251517392505,0.7351607947779308,0.42391857877219263
127,binary,binary_logloss,gbdt,True,4,42,535,236,0.0010603193266005427,27,0.6289747225945249,0.8431688329814319,0.8182507745678166,1.9551143868167613,0.4243289484185726
128,binary,binary_logloss,gbdt,True,4,42,574,269,0.0016945934971616188,21,0.5535538817352424,0.7363340544223281,1.9933456623158996,1.5604220390557804,0.4216224948914481
129,binary,binary_logloss,gbdt,True,4,42,684,280,0.0016911622438197,20,0.5335160553496825,0.7303898377683068,1.2437978064540596,0.7248915253708843,0.42058062176080635
130,binary,binary_logloss,gbdt,True,4,42,679,274,0.0015990219323239055,20,0.5011978261807843,0.7360250914451243,1.360658336700312,0.6525093094466238,0.4215698172078333
131,binary,binary_logloss,gbdt,True,4,42,677,275,0.0016569774260241099,20,0.5374997382179608,0.7368997891681748,1.1874192528841436,0.36566103593780724,0.4222620833389777
132,binary,binary_logloss,gbdt,True,4,42,572,260,0.0010412585662055095,24,0.5014652040048793,0.7222903830775471,1.4027277308640989,0.6021110877519732,0.42299293508234287
133,binary,binary_logloss,gbdt,True,4,42,740,282,0.001841116722029781,21,0.5209151195503045,0.7585474661448592,1.0499075649642613,0.7712610642808365,0.42149564193553307
134,binary,binary_logloss,gbdt,True,4,42,744,288,0.0012730182523141645,17,0.5256596535907169,0.8520997367761869,1.0200878830557225,0.5599258982409192,0.42267111709802746
135,binary,binary_logloss,gbdt,True,4,42,688,241,0.002718961873916348,23,0.5064475833086988,0.7727403800103291,1.180401718046884,0.837214348614546,0.42322220633251545
136,binary,binary_logloss,gbdt,True,4,42,749,78,0.0018984911580824787,13,0.5238290907278687,0.8279233157594184,1.700195667708626,0.38581929659039643,0.4225993883115912
137,binary,binary_logloss,gbdt,True,4,42,626,201,0.0013350445964882393,26,0.5720112669835911,0.672896324519712,0.7036810219383448,0.7250691394603157,0.42415678560339143
138,binary,binary_logloss,gbdt,True,4,42,649,300,0.001968264432026891,18,0.501423160715046,0.9151150784289634,0.3517813874105162,0.8631091047653796,0.4242251456488538
139,binary,binary_logloss,gbdt,True,4,42,672,42,0.0012424387048172295,21,0.5381256260648586,0.709726365392458,1.3040512246515135,0.6035566023983189,0.427200901239383
140,binary,binary_logloss,gbdt,True,4,42,728,250,0.0028167279107974724,16,0.5135363689076712,0.7522881669237625,1.0195221974044992,0.24448623836458608,0.4227526733720626
141,binary,binary_logloss,gbdt,True,4,42,575,268,0.0014710555660771621,21,0.5520886586918329,0.8019939463459657,1.670504705834676,1.0217107903031861,0.4215023805221066
142,binary,binary_logloss,gbdt,True,4,42,576,283,0.0014831007915481567,22,0.5489573416033101,0.8191514539588084,1.6692070865030988,1.049366129178449,0.4218278083674141
143,binary,binary_logloss,gbdt,True,4,42,691,265,0.001027452056412461,19,0.5749283604094828,0.692630123964134,1.0813906600508927,0.7968087444429466,0.4227442229642571
144,binary,binary_logloss,gbdt,True,4,42,772,230,0.001782872021046879,25,0.525929553097743,0.8003211561326699,1.353069102409079,0.9645478773540406,0.4222782093896484
145,binary,binary_logloss,gbdt,True,4,42,494,288,0.007501155040684802,30,0.5525530906581345,0.7664951842526359,1.7138924613472253,0.5055881893731302,0.4226208342693802
146,binary,binary_logloss,gbdt,True,4,42,554,248,0.0011689015577454767,15,0.5017934958852057,0.9084790229933948,0.8753049085150485,0.6296934177133168,0.42368800004928936
147,binary,binary_logloss,gbdt,True,4,42,631,186,0.001466936267041252,19,0.5317861020719544,0.6639852422524534,1.785426852235606,0.41427966282199696,0.4228522693872394
148,binary,binary_logloss,gbdt,True,4,42,596,300,0.0030876344815639056,22,0.5660988697747181,0.709464953964991,1.1754659617107424,1.1297674170300862,0.4212562417290058
149,binary,binary_logloss,gbdt,True,4,42,589,295,0.003220069406307864,23,0.6199324383515297,0.710896742917396,0.7441358465182829,1.141623619604353,0.4228578226082111
150,binary,binary_logloss,gbdt,True,4,42,517,300,0.012734642983783092,26,0.586284638173079,0.8692533835348435,0.6169922040635657,1.5089592907105336,0.42409785886470297
151,binary,binary_logloss,gbdt,True,4,42,615,260,0.002066092856539468,21,0.5645662389172124,0.8016758384061783,1.1424198515899835,0.8134622902161216,0.4242555917655217
152,binary,binary_logloss,gbdt,True,4,42,656,283,0.0024433991866062293,13,0.5136136184698412,0.7456848214811771,1.5183310689346259,1.1582803327339224,0.42291779205072955
153,binary,binary_logloss,gbdt,True,4,42,735,278,0.00290752810816376,19,0.6449630496315256,0.6900988489100145,0.9111182066733658,0.6853546869891826,0.4208597908227248
154,binary,binary_logloss,gbdt,True,4,42,552,259,0.003090876075687914,12,0.6489114050874613,0.7008817691986928,0.9453488743204641,0.9434855320585656,0.4216110280485178
155,binary,binary_logloss,gbdt,True,4,42,770,284,0.0047601736940784765,16,0.6372411242746379,0.7775397221030995,1.1119230142891134,0.7539277388188947,0.4221040705118505
156,binary,binary_logloss,gbdt,True,4,42,725,228,0.0036690982668389927,29,0.6072393300276986,0.6272330686366833,0.8532486059867609,0.5248064501445461,0.4220622725358996
157,binary,binary_logloss,gbdt,True,4,42,799,163,0.002030541566973443,24,0.5947043438164866,0.6847661476055642,1.231549733745634,0.9309102721563467,0.4231583145679836
158,binary,binary_logloss,gbdt,True,4,42,735,300,0.0025398309329510344,22,0.5793698258264299,0.7570580212873584,1.5363343110274885,1.3200591757960791,0.42397732277974115
159,binary,binary_logloss,gbdt,True,4,42,589,210,0.04188898348876996,50,0.6675523973908866,0.9363549546344243,0.9665627713114672,1.0631148069287164,0.4219987813417271
160,binary,binary_logloss,gbdt,True,4,42,464,245,0.004515847769599883,18,0.5613150013894919,0.7200801020502992,0.6444126863642157,1.203689277183167,0.42300384940986363
161,binary,binary_logloss,gbdt,True,4,42,704,268,0.001543565275343975,20,0.613752905848889,0.8132331899769264,1.3089740333186761,0.6596076466984677,0.4234857980225509
162,binary,binary_logloss,gbdt,True,4,42,638,276,0.0023129540383486275,19,0.9848995076486216,0.6535971184769237,1.3575432058967267,0.4548642985104231,0.42313318214773454
